,药名
0,格华止
1,立普妥
2,阿法迪三
3,诺和锐
4,来得时
5,弥可保
6,捷诺维
7,诺和平
8,苯磺酸氨氯地平片
9,拜唐苹
10,阿斯匹林
11,碳酸钙
12,骨化三醇
13,拜阿司匹林
14,拜糖平
15,钙尔奇
16,倍他乐克
17,怡开
18,格列齐特
19,代文
20,唐林
21,安博维
22,科素亚
23,阿司匹灵
24,拜新同
25,左甲状腺素钠片
26,安立泽
27,贝前列素钠片
28,利加隆
29,金水宝胶囊
30,导升明
31,黄葵胶囊
32,易善复
33,瑞舒伐他丁片
34,雅施达
35,达格列净
36,甲功
37,非布司他
38,小苏打
39,优泌乐
40,百泌达
41,维格列汀
42,复发ɑ酮酸片
43,百赛诺
44,亚莫利
45,阿托伐他汀钙
46,福善美
47,奥美拉唑
48,诺和龙
49,力平之
50,门冬胰岛素
51,波立维
52,善存
53,阿卡波糖
54,依姆多
55,波依定
56,泰嘉
57,骨化醇软胶囊
58,缬沙坦氨氯地平片
59,诺和力
60,格列吡嗪
61,枸橼酸莫沙必利
62,雷贝拉唑钠
63,万爽力
64,耐信
65,波利
66,维生素B
67,托洛尔
68,罗盖全
69,甘精胰岛素
70,兰索拉唑
71,左氧氟沙星
72,保列治
73,速尿片
74,盐酸贝那普利
75,欣康
76,欧唐宁
77,缬沙坦氢氯噻嗪片
78,富马酸比索洛尔
79,螺内酯
80,拉唑肠溶片
81,维固力
82,诺和灵
83,阿莫西林
84,氨溴索片
85,琥珀酸亚铁片
86,培菲康
87,波动
88,安博诺
89,美卡素
90,氯化钾缓释片
91,迈之灵
92,百令胶
93,利可君
94,信卫安
95,迭力
96,地特胰岛素
97,拜复乐
98,瑞舒伐
99,羟苯磺酸
