,0,1
0,格华止,7229
1,立普妥,7214
2,阿法迪三,7434
3,诺和锐,7147
4,来得时,7360
5,弥可保,7152
6,捷诺维,7348
7,诺和平,7210
8,苯磺酸氨氯地平片,7354
9,拜唐苹,7457
10,阿斯匹林,7445
11,碳酸钙,7211
12,骨化三醇,7491
13,拜阿司匹林,7249
14,拜糖平,7366
15,钙尔奇,7191
16,倍他乐克,7271
17,怡开,7512
18,格列齐特,7349
19,代文,7341
20,唐林,7464
21,安博维,7306
22,科素亚,7235
23,阿司匹灵,7263
24,拜新同,7386
25,左甲状腺素钠片,7172
26,安立泽,7335
27,贝前列素钠片,7363
28,利加隆,7407
29,金水宝胶囊,7472
30,导升明,7454
31,黄葵胶囊,7157
32,易善复,7441
33,瑞舒伐他丁片,7467
34,雅施达,7300
35,达格列净,7431
36,甲功,7171
37,非布司他,7416
38,小苏打,7228
39,优泌乐,7134
40,百泌达,7294
41,维格列汀,7455
42,复发ɑ酮酸片,7338
43,百赛诺,7124
44,亚莫利,7483
45,阿托伐他汀钙,7212
46,福善美,7148
47,奥美拉唑,7218
48,诺和龙,7198
49,力平之,7442
50,门冬胰岛素,7285
51,波立维,7427
52,善存,7298
53,阿卡波糖,7243
54,依姆多,7315
55,波依定,7275
56,泰嘉,7376
57,骨化醇软胶囊,7278
58,缬沙坦氨氯地平片,7251
59,诺和力,7406
60,格列吡嗪,7501
61,枸橼酸莫沙必利,7477
62,雷贝拉唑钠,7119
63,万爽力,7132
64,耐信,7238
65,波利,7394
66,维生素B,7426
67,托洛尔,7125
68,罗盖全,7223
69,甘精胰岛素,7309
70,兰索拉唑,7421
71,左氧氟沙星,7262
72,保列治,7154
73,速尿片,7231
74,盐酸贝那普利,7165
75,欣康,7504
76,欧唐宁,7355
77,缬沙坦氢氯噻嗪片,7339
78,富马酸比索洛尔,7375
79,螺内酯,7314
80,拉唑肠溶片,7269
81,维固力,7479
82,诺和灵,7113
83,阿莫西林,7509
84,氨溴索片,7478
85,琥珀酸亚铁片,7319
86,培菲康,7239
87,波动,7374
88,安博诺,7358
89,美卡素,7430
90,氯化钾缓释片,7402
91,迈之灵,7401
92,百令胶,7274
93,利可君,7523
94,信卫安,7345
95,迭力,7204
96,地特胰岛素,7137
97,拜复乐,7395
98,瑞舒伐,7525
99,羟苯磺酸,7435
